City,GDP,"Incineration.Amount(10,000ton)"
Ngawa Prefecture,271.13,23
Aksu City,610,23
Alxa League,322.58,23
Ngari,37.4,23
Anqin City,1613.2,27.48
Anyang City,1884.48,54.51
Anshan City,2326,58.13
Macao SAR,3358,22
Bayannur City,887.43,15.98
Bazhong City,501.34,15.09
Bengbu City,1253.1,29.61
Baotou City,3781.93,52.29
Baoji City,1788.59,36.54
Baoding City,2757.8,49.27
Baoshan City,552,10.95
Beihai City,892.1,24.74
Beijing City,22968.6,686.67
Benxi City,1160,31.76
Binzhou City,2355.33,27.99
Haozhou City,942.6,17.66
Cangzhiu City,3133.38,24
Qamdo City,136,3.5
Changde City,2709.02,26.81
Changshu City,2100,28.61
Changzhou City,5273.15,76.48
Chaohu City,273.1,13.5
Chaoyang City,780,33
Chaozhou City,910.1,51.94
Chenzhou City,2012.07,21.78
Chengdu City,10912.17,273.55
Chengde City,1342.55,30
Chizhou City,530.6,14.06
Chifeng City,1861.27,42.03
Chuzhou City,1305.7,12.57
Chuxiong Prefecture,762.97,10.95
Dazhou City,1353.67,23.12
Dali City,901.07,21.5
Dalian City,7700,122.81
Daqing City,2983.5,43.64
Datong City,1060,23
Dandong City,990.5,21.37
Dehong Prefecture,292.3,10
Deyang City,1605.1,18.25
Dezhou City,2750,30.29
Diqing Prefecture,161.1,23
Dongguan City,6275.06,390.43
Dongying City,3450,22.32
Erdos City,4226.13,22.4
Ezhou City,730,17.85
Enshi Prefecture,670,11.96
Erenhot City,100.73,7.2
Foshan City,8003.92,93.84
Fuzhou City,5618.1,105.9
Fushun City,1236,38.22
Fuzhou City(Jiangxi),1105.14,22.34
Fuxin city,530,29.2
Fuyang City(Anhui),1267.4,25.23
Fuyang City(Zhejiang),643.6,29
Garze Prefecture,217.57,23
Ganzhou City,1973.87,37.63
Kaohsiung City,4095.28,136.24
Guang'an City,1005.6,14.34
Guangyuan City,605.43,18.66
Guangzhou City,18100.41,455.84
Guiyang City,2891.16,111.88
Guilin City,1942.97,38.42
Harbin City,5751.2,143.26
Haikou City,1161.28,78.19
Haimen City,915.2,9.06
Handan City,3080,49
Hangzhou City,10053.58,351.98
Hefei City,5660.3,122.05
Heyuan City,810.08,21.34
Heze City,2400.96,40.15
Hebi City,713.23,15.96
Hengshui City,1139,27
Hengyang City,2601.57,43.82
Honghe Prefecture,1222,23
Hohhot City,3090.52,23
Hulunbeier City,1595.96,22
Huludao City,720,25.25
Huzhou City,2084.3,45.77
Hualien County,417,24
Huai'an City,2745.09,43.26
Huaibei City,760.4,21.75
Huainan City,770.6,32.1
Huanggang City,1589.24,18.76
Huangshan mountain Scenic Spot,544.7,23
Huangshan City,544.7,12.61
Huangshi City,1235,29.2
Huizhou City,3140.03,95.29
Keelung City,514,24
Ji'an City,1328.52,16.65
Jilin City,2455.2,33.83
Jimo City,1110,25.02
Jinan City,6130.68,137.28
Jining City,4013.12,49.05
Jiyuan City,494.41,18.96
Jiaxing City,3517.06,33.39
Chiayi County,578,24
Jiayuguan City,195,7.3
Jiangmen City,2240.02,45.67
Jiangyin City,2880.86,18.15
Jiaonan City,981.15,24
Jiaozhou City,981.2,18.94
Jiaozuo City,1943.37,27.88
Jieyang city,1890.01,33.49
Jinchang City,224.5,9.2
Jinhua City,3406.5,45.72
Kinmen County,152.91,22
Jintan City,471.48,14
Jinzhou City,1357.5,25
Jincheng City,1040.2,17
Jinzhong City,1046.12,23
Jingmen City,1388.46,14.86
Jingzhou City,1590.5,23.51
Jingdezhen City,772.06,14.78
Jiujiang City,1902.68,21.57
Jurong City,468.5,7.37
Kaifeng City,1604.84,31.62
Karamay City,670.1,16.57
Kunming City,3970,158.76
Kunshan City,3080,69.25
Lhasa City,389.46,23.76
Laiwu City,755,22.12
Laixi City,526.02,15.51
Laizhou City,717,22.84
Lanzhou City,2095.99,98.36
Langfang City,2056,27
Leshan City,1301.2,18.99
Lijiang City,290,13.79
Lishui City,1102.34,16.1
Liyang City,738.15,7.18
Lianyungang City,2160.64,36.25
Liangshan Prefecture,1314.72,23
Liaoyang City,1025,31
Liaocheng City,2663.62,40.74
Nyingchi City,105,1.53
Lin'an City,466.28,12.77
Lincang City,502.1,6.36
Linfen City,1161.1,14
Linyi City,3763.2,86.2
Liuzhou City,2298.62,49.83
Lu'an City,1143.4,19.28
Longyan City,1738.45,23.84
Loudi City,1291.38,14.5
Luzhou City,1353.4,28.64
Luoyang City,3508.75,71.39
Luohe City,992.85,22
Lvliang City,955.8,23
Ma’anshan City,1365.3,22.91
Maoming City,2445.6,22.12
Meishan City,1029.86,26.17
Meizhou City,955.09,21.57
Mianyang City,1700.33,34.24
Miaoli County,623,22
Mudanjiang City,1186.3,29
Nagqu Prefecture,95.9,23
Nanchang City,4000.01,63.69
Nanchong City,1516.2,36.95
Nanjing City,9720.77,238.68
Nanning City,3410.09,107.44
Nanping City,1339.51,12.37
Nantong City,6148.4,59.88
Nantou Ccounty,590,22
Nanyang City,2875.02,49.25
Neijiang City,1198.58,16.43
Ningbo City,8011.5,111
Nujiang Prefecture,113.45,23
Panzhihua City,925.18,17.91
Panjin City,1267.9,24
Penglai City,471.3,7.3
Penghu County,136,24
Pingdingshan City,1705.78,30.3
Pingdu City,779.3,36.67
Pingtung County,946,24
Pingxiang city,912.39,15.84
Putian City,1655.16,42.57
Puyang City,1333.64,21.9
Pu'er City,120.03,7.95
Qiqihar City,1270,31
Qianjiang Country,557,12.78
Qinhuangdao City,1250.44,25
Qingdao City,9300.07,184.97
Qingyang County,79.95,14
Qingyuan City,1285,30.65
Quzhou City,1146.2,27.23
Qujing City,1630.3,19.05
Quanzhou City,6137.74,51.4
Shigatse City,168,4.13
Rizhao City,1670.8,25.54
Rongcheng City,1022.3,15.24
Rushan City,477.18,6.43
Sanmenxia City,1260.55,15.86
Sanming City,1713.05,11.45
Sanya City,435.02,45.77
Xiamen City,3466.01,161.56
Lhoka Prefecture,115,23
Shantou City,1850.01,78.76
Shanwei City,780,9.13
Shangqiu City,1803.93,28.17
Shanghai Municipality,24964.99,613.85
Shangrao City,1650.81,27.76
Shaoguan City,1149.98,21.76
Shaoyang city,1387,17.42
Shaoxing City,3366.7,82.02
Shenzhen City,17502.99,574.83
Shennongjia Forestry District,22.5,23
Shenyang City,7280,31
Shiyan City,1300,38.7
Shijiazhuang City,5440.6,31
Shizuishan City,482.4,21.77
Shouguang City,806.9,12.6
Shuozhou City,910,23
Suzhou City(Jiangsu),14504.07,214.33
Suizhou City,785,21.29
Suining City,915.81,60.91
Taipei City,5412.65,351.93
Taitung County,254,22
Tainan City,2378.27,127.33
Taichung City,3774.95,106
Taizhou City,3558.13,77.81
Taicang City,625.64,14
Taiyuan City,2735.34,23
Tai'an City,3240,31.71
Taizhou City,3655.53,29
Tangshan City,6225.3,24
Taoyuan City,2990.09,93.75
Tianjin Municipality,16538.19,421.66
Tianmen City,440,16.43
Tieling City,745,31
Tongliao City,1877.27,31
Tongchuan city,324.54,13.63
Tongling City,721.3,10.74
Wafangdian City,935.9,33
