ed,wage
9,259.999576
9,304.999458
9,401.99916
9,401.99916
9,429.001322
9,480.00187
9,515.001596
11,474.997718
11,500.000951
11,525.000912
11,694.998717
11,809.996559
11,889.998698
11,912.000009
12,285.000234
12,623.99977
12,698.000626
12,737.001554
12,809.000876
12,878.995695
12,953.996497
10,472.000479
10,511.997632
10,545.002292
10,577.997764
10,644.999796
10,707.997102
10,751.003266
16,624.998969
16,749.997595
16,760.001191
16,1077.99703
16,1150.0032
16,1499.99942
16,1474.00726
12,997.99673
12,997.99673
12,1000.00472
12,1100.005
12,1174.99597
12,1844.99159
12,1539.00287
12,461.000902
12,480.00187
12,499.001948
12,552.001079
12,586.997171
12,630.000114
12,679.998097
10,561.99896
10,603.997465
10,694.998717
10,707.997102
10,728.997279
10,913.999478
10,984.004037
16,699.999766
16,699.999766
16,899.995713
16,1000.00472
16,1200.0038
16,1300.00059
16,1350.00017
16,600.000207
16,624.998969
16,624.998969
16,624.998969
16,679.998097
16,744.996857
16,845.00285
12,778.999185
12,833.997162
12,899.995713
12,1000.00472
12,1140.9996
12,1245.99539
12,1400.00348
12,699.999766
12,756.997537
12,831.000171
12,839.998411
12,831.000171
12,1044.99774
12,1155.99879
12,997.99673
12,992.999341
12,1300.00059
12,1430.0004
12,1421.0055
12,1414.99319
12,1636.00079
17,899.995713
17,899.995713
17,1018.00489
17,1100.005
17,1250.00146
17,1242.00216
17,1240.00414
14,379.999524
14,351.001326
14,403.001386
14,439.000258
14,598.999043
14,649.998464
14,649.998464
12,395.001673
12,325.001566
12,349.998896
12,384.998716
12,467.000347
12,481.001313
12,594.999164
14,749.997595
14,660.000109
14,879.998321
14,850.003103
14,1200.0038
14,1250.00146
14,1250.00146
16,997.99673
16,997.99673
16,1999.99508
16,2099.99449
16,2250.01014
16,2399.99036
16,2449.99191
12,594.000404
12,647.999549
12,693.998639
12,792.997445
12,846.999412
12,926.996695
12,1028.99719
16,883.004238
16,950.996137
16,1080.00397
16,1162.0024
16,1347.0065
