Country Name,GDP per Capita (PPP),Unemployment (%),,
Afghanistan,"$1,958",8.8,,
Albania,"$12,507",13.9,,
Algeria,"$15,237",10,,
Angola,"$6,753",8.2,,
Argentina,"$20,876",8.7,,
Armenia,"$9,456",18.2,,
Australia,"$50,334",5.6,,
Austria,"$49,869",5.5,,
Azerbaijan,"$17,492",5,,
Bahamas,"$31,139",12.6,,
Bahrain,"$48,505",1.2,,
Bangladesh,"$4,211",4.4,,
Barbados,"$18,664",9.7,,
Belarus,"$18,931",0.5,,
Belgium,"$46,553",7.4,,
Belize,"$8,324",9.3,,
Benin,"$2,277",2.5,,
Bhutan,"$8,744",2.4,,
Bolivia,"$7,547",3.1,,
Bosnia and Herzegovina,"$12,724",25.6,,
Botswana,"$17,828",17.4,,
Brazil,"$15,603",13.3,,
Brunei Darussalam,"$78,196",7.1,,
Bulgaria,"$21,687",6.2,,
Burkina Faso,"$1,889",6.3,,
Burma,"$6,244",0.8,,
Burundi,$735,1.6,,
Cambodia,"$4,012",0.2,,
Cameroon,"$3,660",4.2,,
Canada,"$48,265",6.3,,
Cabo Verde,"$6,944",10.3,,
Central African Republic,$677,6,,
Chad,"$2,344",5.9,,
Chile,"$24,537",7,,
China,"$16,660",4.7,,
Colombia,"$14,485",8.9,,
Comoros,"$1,588",4.3,,
"Congo, Democratic Republic of the Congo",$790,3.7,,
"Congo, Republic of","$6,642",11,,
Costa Rica,"$16,877",8.1,,
Côte d'Ivoire,"$3,883",2.6,,
Croatia,"$24,424",11.2,,
Cuba,"$12,920",2.6,,
Cyprus,"$37,023",11,,
Czech Republic,"$35,512",2.9,,
Denmark,"$49,883",5.7,,
Djibouti,"$3,559",5.8,,
Dominica,"$11,102",N/A,,
Dominican Republic,"$16,944",5.5,,
Ecuador,"$11,482",3.8,,
Egypt,"$12,671",12.1,,
El Salvador,"$8,948",4.5,,
Equatorial Guinea,"$36,017",6.9,,
Eritrea,"$1,581",6.4,,
Estonia,"$31,750",5.8,,
Eswatini,"$9,884",26.4,,
Ethiopia,"$2,161",5.2,,
Fiji,"$9,777",6.3,,
Finland,"$44,333",8.6,,
France,"$43,761",9.4,,
Gabon,"$19,254",19.7,,
Gambia,"$1,713",9.5,,
Georgia,"$10,747",11.6,,
Germany,"$50,425",3.8,,
Ghana,"$4,729",2.4,,
Greece,"$27,737",21.5,,
Guatemala,"$8,145",2.7,,
Guinea,"$2,041",4.5,,
Guinea-Bissau,"$1,845",6.1,,
Guyana,"$8,161",12,,
Haiti,"$1,815",14,,
Honduras,"$5,562",4.5,,
Hong Kong,"$61,393",3.1,,
Hungary,"$29,474",4.2,,
Iceland,"$51,842",2.8,,
India,"$7,183",3.5,,
Indonesia,"$12,377",4.2,,
Iran,"$20,200",12.5,,
Iraq,"$16,954",8.2,,
Ireland,"$75,538",6.4,,
Israel,"$36,340",4.3,,
Italy,"$38,140",11.2,,
Jamaica,"$9,163",12.5,,
Japan,"$42,832",2.8,,
Jordan,"$12,494",14.9,,
Kazakhstan,"$26,252",4.9,,
Kenya,"$3,491",11.5,,
Kiribati,"$1,976",N/A,,
"Korea, North","$1,700 (2015 est.)",4.8,,
"Korea, South","$39,434",3.7,,
Kosovo,"$10,515",N/A,,
Kuwait,"$66,163",2.1,,
Kyrgyz Republic,"$3,667",7.3,,
Laos,"$7,366",0.7,,
Latvia,"$27,644",8.7,,
Lebanon,"$19,439",6.6,,
Lesotho,"$3,581",27.3,,
Liberia,"$1,354",2.4,,
Libya,"$9,986",17.7,,
