City,GDP,PopulationDensity
Ngawa Prefecture,271.13,11
Aksu City,610,6547
Alxa League,322.58,1
Ngari,37.4,1
Anqin City,1613.2,2271
Anyang City,1884.48,4735
Anshan City,2326,2534
Macao SAR,3358,20547
Bayannur City,887.43,5093
Bazhong City,501.34,2653
Bengbu City,1253.1,2599
Baotou City,3781.93,2130
Baoji City,1788.59,5352
Baoding City,2757.8,4565
Baoshan City,552,4529
Beihai City,892.1,458
Beijing City,22968.6,1292
Benxi City,1160,602
Binzhou City,2355.33,1110
Haozhou City,942.6,3693
Cangzhiu City,3133.38,3169
Qamdo City,136,5714
Changde City,2709.02,2366
Changshu City,2100,1200
Changzhou City,5273.15,2399
Chaohu City,273.1,7708
Chaoyang City,780,1022
Chaozhou City,910.1,3503
Chenzhou City,2012.07,1081
Chengdu City,10912.17,6116
Chengde City,1342.55,89
Chizhou City,530.6,1199
Chifeng City,1861.27,1754
Chuzhou City,1305.7,1456
Chuxiong Prefecture,762.97,5574
Dazhou City,1353.67,974
Dali City,901.07,3515
Dalian City,7700,2820
Daqing City,2983.5,4667
Datong City,1060,9492
Dandong City,990.5,3237
Dehong Prefecture,292.3,110
Deyang City,1605.1,2950
Dezhou City,2750,1448
Diqing Prefecture,161.1,17
Dongguan City,6275.06,2417
Dongying City,3450,617
Erdos City,4226.13,2624
Ezhou City,730,1740
Enshi Prefecture,670,4942
Erenhot City,100.73,1471
Foshan City,8003.92,2469
Fuzhou City,5618.1,2322
Fushun City,1236,2069
Fuzhou City(Jiangxi),1105.14,6648
Fuxin city,530,1741
Fuyang City(Anhui),1267.4,2290
Fuyang City(Zhejiang),643.6,360
Garze Prefecture,217.57,8
Ganzhou City,1973.87,8047
Kaohsiung City,4095.28,941
Guang'an City,1005.6,2106
Guangyuan City,605.43,2064
Guangzhou City,18100.41,5940
Guiyang City,2891.16,2163
Guilin City,1942.97,1535
Harbin City,5751.2,11366
Haikou City,1161.28,2916
Haimen City,915.2,4900
Handan City,3080,780
Hangzhou City,10053.58,3527
Hefei City,5660.3,3357
Heyuan City,810.08,8950
Heze City,2400.96,1762
Hebi City,713.23,3602
Hengshui City,1139,503
Hengyang City,2601.57,8360
Honghe Prefecture,1222,137
Hohhot City,3090.52,177
Hulunbeier City,1595.96,10
Huludao City,720,883
Huzhou City,2084.3,1408
Hualien County,417,72
Huai'an City,2745.09,6461
Huaibei City,760.4,3883
Huainan City,770.6,2213
Huanggang City,1589.24,5996
Huangshan mountain Scenic Spot,544.7,90
Huangshan City,544.7,833
Huangshi City,1235,3698
Huizhou City,3140.03,1372
Keelung City,514,2802
Ji'an City,1328.52,1898
